SEM,NQUEST,POIDSM,RESCOUR,RESDEP,RESSECT,RESCOMM,RESC,JDEP,MNP,MNP5,MNPMOB,MNPACT,TYPELOG,OCCUPLOG,LOY_HC,LOY_NSP,ALLOC,CHG,CHG_NSP,LOY_PARK,PARK,NBPI,SURF,TELFIX,INTERNET,ANEM,MNEM,CHOIXLOG1,CHOIXLOG2,CHOIXLOG3,ACOMM,NB_VELO,NB_VAE,PARKVELO,NB_VD,TYPEV1,ENERGV1,APMCV1,PUISSV1,ANKMV1,CPTKMV1,POSSV1,STATV1,TYPEV2,ENERGV2,APMCV2,PUISSV2,ANKMV2,CPTKMV2,POSSV2,STATV2,TYPEV3,ENERGV3,APMCV3,PUISSV3,ANKMV3,CPTKMV3,POSSV3,STATV3,TYPEV4,ENERGV4,APMCV4,PUISSV4,ANKMV4,CPTKMV4,POSSV4,STATV4,NB_2RM,NB_VEH,TYPERM1,MOTRM1,ENERM1,APMCRM1,CYLRM1,ANKMRM1,STATRM1,TYPERM2,MOTRM2,ENERM2,APMCRM2,CYLRM2,ANKMRM2,STATRM2,TYPERM3,MOTRM3,ENERM3,APMCRM3,CYLRM3,ANKMRM3,STATRM3,TYPERM4,MOTRM4,ENERM4,APMCRM4,CYLRM4,ANKMRM4,STATRM4,ANCOUT,ASSCOUT,REVENU
201107,75010021,382.96828896,1,75,7501,75102,555522C,2,1,1,1,,4,1,,,,150,,,3,4,100,1,1,35,,,,,75114,0,,1,1,1,1,1998,8,15000,200000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,11
201047,75010071,382.96828896,1,75,7501,75101,555516A,4,1,1,1,,4,6,2000,,2,300,,,3,2,60,1,1,1,0,05,09,,99028,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
200949,75010081,382.96828896,1,75,7501,75101,555515I,1,1,1,1,,4,4,1250,,2,,1,,3,2,25,1,2,7,0,10,,,60175,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
200945,75010101,382.96828896,1,75,7501,75102,555534A,5,1,1,1,1,4,4,550,,2,10,,,3,1,23,1,1,4,,01,06,,75102,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
201045,75010141,371.9339319,1,75,7501,75104,555647C,1,2,2,2,,4,1,,,,135,,,2,4,115,1,1,10,,,,,75103,2,0,1,1,1,3,1999,5,20000,250000,1,6,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,7
201051,75010171,371.9339319,1,75,7501,75104,555568A,1,2,2,2,1,4,3,592,,2,163,,,3,3,70,1,1,17,,,,,75104,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
201016,75010201,382.96828896,1,75,7501,75103,555539A,4,1,1,1,,4,6,0,,2,200,,,3,3,80,1,1,5,6,02,03,,99028,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
201102,75010211,578.04811186,1,75,7501,75104,555647D,2,4,4,4,2,4,4,1200,,2,300,,,3,5,95,1,1,2,,01,09,,92040,1,0,2,1,1,2,2002,6,10000,90000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,10
200945,75010221,382.96828896,1,75,7501,75102,555526I,1,1,1,1,1,4,7,,,,,,,,1,22,1,2,10,,04,,,99032,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
200950,75010241,365.78626204,1,75,7501,75103,555539D,1,1,1,1,1,1,6,2000,,2,125,,,3,5,92,1,1,7,,03,09,,75101,0,,2,1,1,3,2005,7,20000,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,6
