area;pop;density;nb_pt;work_or_edu_fac;other_fac;cars_per_persons;big_road;insee
9.488102;493;51.95981240505214;0;1;11;1.0;0;77472.0
12.122472;6585;543.2060391642892;1;11;187;0.8235294117647058;0;91315.0
9.5047755;334;35.140230297917086;1;2;15;0.5;0;78472.0
1.603038;401;250.150027635028;0;0;10;0.4;0;77038.0
5.117345;5282;1032.1758646329297;6;3;189;0.4;0;78672.0
12.431151;996;80.12130172017056;0;3;24;0.25;0;95541.0
4.439604;25097;5652.981662328441;0;55;890;0.5636363636363636;0;95203.0
5.961919;14883;2496.343878539779;0;26;490;0.5;140.892095227997242.9200226951319624.0732203087407225.0335.45936507683405667.1651129521817157.5408891720488853.40616627458212154.9325706049947760.36210818267027626.6457850383022452.0088113912297692.8582261407980157.7299745754944334.15511533822244210.41661446502422155.1783770348043641.0448596198316469.643343688771525.018.32827824451991890.06646607483817145.98381187429695221.47022989746176392.64309370390535.60481501813682649.09796156948627327.6152614365197531.00609302149519359.80317212879436.77567918429674300.70146327966097;95539.0
3.0473395;8667;2844.1202563744537;0;25;260;0.7;23.0758101405234114.678314224309247130.9270761823185669.65710500106404194.9431015914340732.49598281956973189.5819797874855215.609753720152241391.253070440540124.419709856160246101.6854049940592874.94303239748247.27344855324622158.70933295909526221.9558680481789670.6596896009548694.8106229825471234.34109183771227.20079350923884215.365026695753432159.4777461417239714.831264810634117193.64701210709984123.59779599174178127.3856954614146145.57304199147521.19236942997766776.5766482408894313.8888888888888973.174999075137413.8888888888888913.8888888888888916.84076115028811746.3652211932664713.8888888888888942.6994739228539119.444444444444443230.5207958862704319.77395552671713531.34643244455652729.69646641347481327.72880464929396320.24851315250702328.5036044744955131.393094976622457129.2097504355599328.48643880381671;92076.0
5.3833735;1796;333.6198017841415;0;0;47;0.2777777777777778;0;77260.0
6.1011525;114;18.684994351477034;0;3;3;0.0;0;77200.0
8.2617575;636;76.98119921820509;0;3;28;0.0;0;91319.0
19.133818;1914;100.03230928610274;0;4;68;0.25;0;77148.0
9.011929;600;66.57842066887122;0;0;17;1.0;0;91654.0
18.820706;352;18.70280530390305;0;0;13;0.0;0;77289.0
16.32992;4834;296.021046030844;0;16;156;0.5;0;77317.0
4.537431;134;29.53212952439387;0;2;5;1.0;0;91148.0
3.803982;33879;8906.193562430106;0;46;1090;0.4375;0;94058.0
10.606513;459;43.27529698026109;0;0;8;0.4;0;77387.0
33.743462;3347;99.18958522987357;0;11;122;0.6428571428571429;0;91390.0
4.9150965;643;130.82143961975112;0;0;17;0.6666666666666666;0;91093.0
7.256354;3251;448.0211411957024;0;10;217;0.6;62.98125362046331215.6215078630763104.27696233614218454.15252743965873.9526362560139531.947985871142954104.40015472142345229.7363995917135152.38393489690733148.5205608242764680.13082711902729503.1141906546034135.8273807530798132.20734019013233256.0510145971396;77450.0
29.2885245;1054;35.98679066267063;5;2;38;0.6;0;91130.0
3.4421025;27802;8077.040123006215;0;68;767;0.44274809160305345;32.79749782588466125.73678324516864150.0304455894555341.82402819924533145.75572387502706102.09122757901324177.2723105542099280.0295102759393930.706540611940824325.283029442143689.07451854832625138.516801539411419.44444444444444387.97352771398226131.7980724433285214.9517229481621172.11183718582973272.34987249536255;94034.0
6.967287;53640;7698.836003167374;46;194;2284;0.19736842105263158;196.79704865902886177.1305413519108457.8783803271647489.0871440892477424.23665520464083363.883351203074376153.09748869702264236.585116744612839.24938973571024565.75810482449523144.6436338945139544.147527058304696111.09160973789041138.2401049321511159.69448249895726142.20186189163707146.19114963206374135.38995411484197159.8336543585621722.50539329388360733.37591032190936621.3729286466079835.39291744620765567.9951541792677676.0766600569539566.75088483840402138.5247194623993622.22222222222222106.1981631808070663.97006904283481586.6442253079830495.5382510660299693.8251017190085413.8888888888888962.12580470271295;93008.0
19.2987755;2480;128.50556243840444;9;3;73;0.7619047619047619;0;77219.0
3.8607005;51367;13305.098388232913;40;435;3376;0.352112676056338;0;75107.0
27.4223575;1066;38.87339007960931;0;4;27;2.0;0;77191.0
5.1801145;234;45.17274666419053;0;0;4;0.0;0;95054.0
9.169024;517;56.385499699859004;4;0;26;0.2857142857142857;0;91544.0
16.1114555;479;29.73039896985098;0;1;10;0.5882352941176471;0;77500.0
8.0370255;542;67.43788482442913;0;1;17;0.3333333333333333;0;95348.0
6.618832;1582;239.01498028655206;4;2;45;0.7647058823529411;0;78049.0
4.408874;289;65.54961652340258;0;1;8;0.75;205.98057321842984161.34292673280308;77094.0
1.871287;2046;1093.36515457009;0;5;89;0.0;0;91468.0
2.7452415;1084;394.86507835467296;0;1;29;0.5;0;78007.0
5.8493165;233;39.83371390486393;0;0;7;0.0;0;91374.0
8.745261;1604;183.4136225322492;0;3;36;0.8125;0;78334.0
5.7684255;1366;236.80638676879852;0;3;31;0.75;0;77199.0
8.206764;5175;630.5774115107977;0;8;188;0.7;0;95652.0
8.701456;16345;1878.4212665098805;0;49;601;0.46153846153846156;335.5211284879763426.88861820496933325.80622654436378185.6740351287567;94004.0
