geo_point_2d;geo_shape;objectid_1;objectid;numero;nom;larg;sens;chauss;tunnel;shape_leng;niveau_route;code_statu;gestionn;statut_2;statut;shape_len
49.0508020978, 2.18804124814;"{""coordinates"": [[2.193035223376208, 49.05127680425541], [2.192484327620092, 49.05104621232658], [2.190898210794263, 49.05059323611774], [2.189244207598162, 49.05036121892924], [2.187993049905083, 49.05037728962354], [2.186674096892661, 49.050570101169754], [2.185879951329204, 49.0507933728736], [2.18542190475352, 49.050922148069084], [2.183711453114279, 49.05154768708688], [2.183078529656354, 49.05175021101713]], ""type"": ""LineString""}";1;131;0;N184;2;>;1;0;782.1418247;0;499;Etat;;bretelle nationale;782.141824698
48.9958705805, 2.51584698861;"{""coordinates"": [[2.515421280001024, 48.99554075469445], [2.516272697211071, 48.9962004062789]], ""type"": ""LineString""}";10;351;216332;A1;2;>;1;0;96.24693885;0;500;;;bretelle autoroute / voie rapide;96.2469388443
49.0315575659, 2.11785398494;"{""coordinates"": [[2.117702625708771, 49.03157210103014], [2.118005344179772, 49.0315430307193]], ""type"": ""LineString""}";15;461;216651;A15;3;D;2;0;22.37183489;0;501;Etat;Autoroute DIRIF;autoroute;22.3718348881
49.1238925342, 2.25005364088;"{""coordinates"": [[2.249362159827616, 49.12415381582588], [2.24990141908155, 49.12381573997688], [2.250158347022095, 49.123805394795184], [2.250495704009341, 49.12382672765448], [2.250797913114212, 49.12388161219265]], ""type"": ""LineString""}";19;836;0;A16;0;;0;0;120.85764349;0;500;;;bretelle autoroute / voie rapide;120.85764349
49.1012729365, 2.27763202418;"{""coordinates"": [[2.278128589917113, 49.10106071918977], [2.277903360388491, 49.1011464569981], [2.277140271584547, 49.101496634532126]], ""type"": ""LineString""}";20;998;0;N1;0;;0;0;87.00116617;0;499;;;bretelle nationale;87.0011661703
49.0526873995, 2.1974461505;"{""coordinates"": [[2.197368883152091, 49.05264508028677], [2.197523417840439, 49.05272971875196]], ""type"": ""LineString""}";25;1047;220237;N184;2;D;2;0;14.70403082;0;502;Etat;Voie rapide DIRIF;voie rapide;14.7040308174
48.9778950136, 2.23997520288;"{""coordinates"": [[2.23979508020569, 48.977441428740605], [2.240155325562435, 48.97834859836318]], ""type"": ""LineString""}";31;1170;216537;A15;0;;0;0;104.27372917;0;500;;;bretelle autoroute / voie rapide;104.273729169
48.9656535361, 2.25884483316;"{""coordinates"": [[2.258512455976974, 48.96585227515149], [2.259177210351222, 48.96545479714526]], ""type"": ""LineString""}";34;1321;0;A15;0;;0;0;65.74890766;0;500;;;bretelle autoroute / voie rapide;65.7489076607
49.0035191286, 2.24614349481;"{""coordinates"": [[2.245772260454046, 49.004693531964676], [2.246223256190806, 49.00380178057255], [2.246255084074633, 49.002279926486906]], ""type"": ""LineString""}";58;2035;216460;A115;2;D;2;0;273.77889932;0;501;Etat;Autoroute DIRIF;autoroute;273.778899322
49.0085191092, 2.53507257607;"{""coordinates"": [[2.536361499185432, 49.008845941540265], [2.534237072747019, 49.00831075984988], [2.533788835685814, 49.00817367950117]], ""type"": ""LineString""}";62;2186;216404;A1;2;>;1;0;202.5920944;0;500;;;bretelle autoroute / voie rapide;202.592094401
49.0115239231, 2.52788990407;"{""coordinates"": [[2.527855285398379, 49.01151934033244], [2.527924522733549, 49.01152850581304]], ""type"": ""LineString""}";98;3196;0;A1;0;;0;0;5.16664071;0;500;;;bretelle autoroute / voie rapide;5.16664070843
48.9841702274, 2.50589502839;"{""coordinates"": [[2.503238319708585, 48.982760626027876], [2.504745113613524, 48.9833991674921], [2.505837651508607, 48.984002751820505], [2.506926136838353, 48.98466000046489], [2.507776790695063, 48.98543155997604], [2.50823910342619, 48.98601722786407]], ""type"": ""LineString""}";111;3462;0;A1;2;>;1;0;523.10780856;0;500;;;bretelle autoroute / voie rapide;523.107808556
48.9968778227, 2.52030301517;"{""coordinates"": [[2.520093806218268, 48.99677425768777], [2.520300062625038, 48.99688436830507], [2.520518196415507, 48.99696832720789]], ""type"": ""LineString""}";114;3555;216346;A1;2;>;1;0;37.92823423;0;500;;;bretelle autoroute / voie rapide;37.9282342269
48.9988500312, 2.5215162434;"{""coordinates"": [[2.518573779194838, 48.99618806970538], [2.52150918839479, 48.99884271814342], [2.524457783854527, 49.001513013419164]], ""type"": ""LineString""}";115;3561;216348;A1;2;>;1;0;732.16030564;0;500;;;bretelle autoroute / voie rapide;732.160305642
49.067090992, 2.40057429217;"{""coordinates"": [[2.398733040741511, 49.06735253128556], [2.401317577209252, 49.06700713822584], [2.40240273621755, 49.06675865884048]], ""type"": ""LineString""}";125;3806;0;N104;2;D;2;0;276.71549234;0;502;Etat;Autoroute DIRIF;voie rapide;276.71549234
49.0649861343, 2.40774410732;"{""coordinates"": [[2.409555991269102, 49.064820361973815], [2.408361324129713, 49.064998718040066], [2.407838004562771, 49.06510596600048], [2.407291476197549, 49.06512935021041], [2.406814941255553, 49.06506079283136], [2.4063493849024, 49.06488542846299], [2.405954078608683, 49.0647882930974]], ""type"": ""LineString""}";128;3824;0;D316;1;>;1;0;275.32766714;0;500;;;bretelle autoroute / voie rapide;275.327667131
48.9971824078, 2.18000600049;"{""coordinates"": [[2.178850215222313, 48.99783384294706], [2.181161785754682, 48.99653097264813]], ""type"": ""LineString""}";130;3834;0;A15;0;;0;0;222.72309957;0;500;;;bretelle autoroute / voie rapide;222.723099565
49.0592686708, 2.21053732197;"{""coordinates"": [[2.210325751176691, 49.05906040898062], [2.210748892771095, 49.05947693266721]], ""type"": ""LineString""}";144;4141;220271;N184;0;;0;0;55.69905507;0;500;;;bretelle autoroute / voie rapide;55.6990550696
49.0503418108, 2.14473267807;"{""coordinates"": [[2.142642846990215, 49.04998691388887], [2.144927953403499, 49.05035032913703], [2.146812768542281, 49.05074929412639]], ""type"": ""LineString""}";150;4226;220226;N184;2;D;2;0;316.61341654;0;502;Etat;Voie rapide DIRIF;voie rapide;316.613416538
49.0600282919, 2.02300241972;"{""coordinates"": [[2.020492699425946, 49.06043484185206], [2.021784728316259, 49.06021329206523], [2.025514759784856, 49.05963782753839]], ""type"": ""LineString""}";71;2333;219856;N14;2;D;2;0;377.6221139;0;503;Etat;Voie rapide DIRIF;nationale;377.622113905
48.9863937745, 2.24238862005;"{""coordinates"": [[2.242327317712706, 48.98607771435935], [2.24244992238498, 48.986709834674684]], ""type"": ""LineString""}";73;2363;216449;A115;0;D;0;0;70.86746309;0;500;;;bretelle autoroute / voie rapide;70.8674630917
